Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,0.0,783.0,10.0,116.0,2737.0,0.1,74.406,0.0,0.0,444.4842870235443,,,,,,,,,,,,,,,,,,,,,30.81843182535462,21.776991064890417,70.97293680893992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,862.0,11.0,79.0,2816.0,0.1,54.206999999999994,0.0,0.0,451.87564516067505,,,,,,,,,,,,,,,,,,,,,22.891719266779006,17.432867744681385,52.50350869179937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,973.0,12.0,111.0,2927.0,0.1,57.00700000000002,0.0,0.0,461.98430132865906,,,,,,,,,,,,,,,,,,,,,22.987798261787418,15.579813480019206,54.564428685884714,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1004.0,13.0,31.0,2958.0,0.1,17.006000000000014,0.0,0.0,465.4003870487213,,,,,,,,,,,,,,,,,,,,,5.632304613615877,5.883862559780834,16.865111915697387,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1041.0,14.0,37.0,2995.0,0.1,19.70700000000002,0.0,0.0,469.0844111442566,,,,,,,,,,,,,,,,,,,,,6.242591615665291,6.702614207453266,19.515034664514754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1125.0,15.0,84.0,3079.0,0.1,50.60699999999999,0.0,0.0,476.91083431243896,,,,,,,,,,,,,,,,,,,,,19.890196443413085,14.799559381695516,49.03424295041119,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1167.0,16.0,42.0,3121.0,0.1,16.01200000000001,0.0,0.0,481.03255224227905,,,,,,,,,,,,,,,,,,,,,3.995514701888715,5.124442298856439,15.87592435530694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1222.0,17.0,55.0,3176.0,0.1,32.707,0.0,0.0,486.36307549476624,,,,,,,,,,,,,,,,,,,,,10.798824216922315,10.917754185287984,32.17738726521243,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1257.0,18.0,35.0,3211.0,0.1,16.50600000000001,0.0,0.0,490.2258925437927,,,,,,,,,,,,,,,,,,,,,4.860222582580246,5.5375446408551605,16.36861306713089,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1336.0,19.0,79.0,3290.0,0.1,55.306999999999995,0.0,0.0,497.60559725761414,,,,,,,,,,,,,,,,,,,,,22.667789916780333,17.791383135218982,53.62343784883416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
