Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,725.0,17.0,39.0,1990.0,0.1,-1908.570044672129,0.0,0.0,291.95904994010925,,,,,,,,,,,,,,,,,,,,,-842.813881022886,651.0038161845139,0.007972055930055972,-1879.4573385319616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,761.0,18.0,36.0,2026.0,0.1,-422.3758433648541,0.0,0.0,295.4143319129944,,,,,,,,,,,,,,,,,,,,,-99.18744064270817,138.3481412774548,2.583198921097765,-419.6439637853233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,805.0,19.0,44.0,2070.0,0.1,-619.6009115231357,0.0,0.0,299.83833026885986,,,,,,,,,,,,,,,,,,,,,-188.9249798176688,191.84945606113632,0.010945164670461537,-612.5126251488305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,849.0,20.0,44.0,2114.0,0.1,-996.6174296415145,0.0,0.0,304.0037131309509,,,,,,,,,,,,,,,,,,,,,-310.53880887127565,338.9988735148178,0.006979034965020993,-984.9225822931819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,48.0,1.0,48.0,2162.0,0.1,-1016.9009554814636,0.0,0.0,392.24854373931885,,,,,,,,,,,,,,,,,,,,,-335.95465056284337,343.9374405895137,0.005985019985005999,-1002.7796888524633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,89.0,2.0,41.0,2203.0,0.1,-534.6245592453671,0.0,0.0,396.20654249191284,,,,,,,,,,,,,,,,,,,,,-160.91913638079984,163.39296988744263,0.00995511979025179,-529.0845145984362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,113.0,3.0,24.0,2227.0,0.1,-321.731097395393,0.0,0.0,398.7303419113159,,,,,,,,,,,,,,,,,,,,,-105.1354242856521,101.9093047179673,0.006979034965020993,-319.8472218089333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,145.0,4.0,32.0,2259.0,0.1,-194.68488333181728,0.0,0.0,401.93663144111633,,,,,,,,,,,,,,,,,,,,,-101.55587476990137,83.16231778969293,0.00995511979025179,-198.14843925484294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,182.0,5.0,37.0,2296.0,0.1,-1720.530272039837,0.0,0.0,405.5302572250366,,,,,,,,,,,,,,,,,,,,,-592.6771186670165,579.3304987298748,0.00995511979025179,-1702.0035236930196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,219.0,6.0,37.0,2333.0,0.1,-3782.7252695842467,0.0,0.0,409.49668526649475,,,,,,,,,,,,,,,,,,,,,-1540.9447554922322,1293.8650060765306,0.006979034965020993,-3733.172926310731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
